brand,model,release_date,os,soc_chip,display_size_in,display_type,refresh_rate_hz,peak_brightness_nits,main_camera_mp,telephoto_optical_zoom,ultrawide_mp,front_camera_mp,battery_mAh,wired_charge_W,wireless_charge_W,ram_gb,storage_gb_options,ip_rating,weight_g,dimensions_mm,biometrics,sim,connectivity,stylus_support,storage_expandable,materials,warranty_months,sw_update_years,security_update_years,msrp_krw,street_price_krw,price_asof,notable_pros,notable_cons,availability_regions
Apple,iPhone 15,2023-09,iOS,A16 Bionic,6.1,OLED,60/120,~2000,48,5x (Pro Max/16 Pro Max),12,12,3349,~27,15,6,"128,256,512",IP68,171,147.6×71.6×7.8,Face ID,eSIM (지역별 상이),"5G, Wi‑Fi, BT, USB‑C(15 시리즈+)",No,No,Aluminum/Glass or Titanium frame,24,5~7,6~7,,,2025-09-19,"강력한 칩셋, 생태계, 영상/사진 품질","고가, 커스터마이즈 제약",Global
Apple,iPhone 15 Plus,2023-09,iOS,A16 Bionic,6.7,OLED,60/120,~2000,48,5x (Pro Max/16 Pro Max),12,12,4383,~27,15,6,"128,256,512",IP68,201,160.9×77.8×7.8,Face ID,eSIM (지역별 상이),"5G, Wi‑Fi, BT, USB‑C(15 시리즈+)",No,No,Aluminum/Glass or Titanium frame,24,5~7,6~7,,,2025-09-19,"강력한 칩셋, 생태계, 영상/사진 품질","고가, 커스터마이즈 제약",Global
Apple,iPhone 15 Pro,2023-09,iOS,A17 Pro,6.1,OLED,60/120,~2000,48,5x (Pro Max/16 Pro Max),12,12,3274,~27,15,8,"1,282,565,121,024",IP68,187,146.6×70.6×8.25,Face ID,eSIM (지역별 상이),"5G, Wi‑Fi, BT, USB‑C(15 시리즈+)",No,No,Aluminum/Glass or Titanium frame,24,5~7,6~7,,,2025-09-19,"강력한 칩셋, 생태계, 영상/사진 품질","고가, 커스터마이즈 제약",Global
Apple,iPhone 15 Pro Max,2023-09,iOS,A17 Pro,6.7,OLED,60/120,~2000,48,5x (Pro Max/16 Pro Max),12,12,4422,~27,15,8,"2,565,121,024",IP68,221,159.9×76.7×8.25,Face ID,eSIM (지역별 상이),"5G, Wi‑Fi, BT, USB‑C(15 시리즈+)",No,No,Aluminum/Glass or Titanium frame,24,5~7,6~7,,,2025-09-19,"강력한 칩셋, 생태계, 영상/사진 품질","고가, 커스터마이즈 제약",Global
Apple,iPhone 16,2024-09,iOS,A18 (est.),6.1,OLED,60/120,~2000,48,5x (Pro Max/16 Pro Max),12,12,3500,~27,15,6/8,"128,256,512",IP68,170,147.6×71.6×7.8,Face ID,eSIM (지역별 상이),"5G, Wi‑Fi, BT, USB‑C(15 시리즈+)",No,No,Aluminum/Glass or Titanium frame,24,5~7,6~7,,,2025-09-19,"강력한 칩셋, 생태계, 영상/사진 품질","고가, 커스터마이즈 제약",Global
Apple,iPhone 16 Plus,2024-09,iOS,A18 (est.),6.7,OLED,60/120,~2000,48,5x (Pro Max/16 Pro Max),12,12,4400,~27,15,6/8,"128,256,512",IP68,200,160.9×77.8×7.8,Face ID,eSIM (지역별 상이),"5G, Wi‑Fi, BT, USB‑C(15 시리즈+)",No,No,Aluminum/Glass or Titanium frame,24,5~7,6~7,,,2025-09-19,"강력한 칩셋, 생태계, 영상/사진 품질","고가, 커스터마이즈 제약",Global
Apple,iPhone 16 Pro,2024-09,iOS,A18 Pro (est.),6.3,OLED,60/120,~2000,48,5x (Pro Max/16 Pro Max),12,12,3600,~27,15,8,"2,565,121,024",IP68,194,149.6×71.5×8.3,Face ID,eSIM (지역별 상이),"5G, Wi‑Fi, BT, USB‑C(15 시리즈+)",No,No,Aluminum/Glass or Titanium frame,24,5~7,6~7,,,2025-09-19,"강력한 칩셋, 생태계, 영상/사진 품질","고가, 커스터마이즈 제약",Global
Apple,iPhone 16 Pro Max,2024-09,iOS,A18 Pro (est.),6.9,OLED,60/120,~2000,48,5x (Pro Max/16 Pro Max),12,12,4600,~27,15,8,"2,565,121,024",IP68,221,163×77.6×8.3,Face ID,eSIM (지역별 상이),"5G, Wi‑Fi, BT, USB‑C(15 시리즈+)",No,No,Aluminum/Glass or Titanium frame,24,5~7,6~7,,,2025-09-19,"강력한 칩셋, 생태계, 영상/사진 품질","고가, 커스터마이즈 제약",Global
Samsung,Galaxy S23,2023-02,Android,Snapdragon 8 Gen 2 for Galaxy,6.1,OLED (일부 A는 OLED),120,~1600,50,3x~10x(기종별),12,12,3900,25~45,10~15,8,"128,256,512",IP68,168,146.3×70.9×7.6,지문/얼굴,Dual SIM/eSIM(지역별),"5G, Wi‑Fi, BT, USB‑C",S Pen(울트라/폴드 일부),A시리즈 일부 No,Aluminum/Glass 등,24,4~7,5~7,,,2025-09-19,"다양한 라인업과 가격대, 강력한 카메라/디스플레이",모델별 칩/충전/업데이트 편차,Global
Samsung,Galaxy S23 Ultra,2023-02,Android,Snapdragon 8 Gen 2 for Galaxy,6.8,OLED (일부 A는 OLED),120,~1600,200,3x~10x(기종별),12,12,5000,25~45,10~15,8/12,"2,565,121,024",IP68,234,163.4×78.1×8.9,지문/얼굴,Dual SIM/eSIM(지역별),"5G, Wi‑Fi, BT, USB‑C",S Pen(울트라/폴드 일부),A시리즈 일부 No,Aluminum/Glass 등,24,4~7,5~7,,,2025-09-19,"다양한 라인업과 가격대, 강력한 카메라/디스플레이",모델별 칩/충전/업데이트 편차,Global
Samsung,Galaxy S24,2024-01,Android,Snapdragon 8 Gen 3 for Galaxy/Exynos 2400 (region),6.2,OLED (일부 A는 OLED),120,~1600,50,3x~10x(기종별),12,12,4000,25~45,10~15,8,"128,256,512",IP68,167,147×70.6×7.6,지문/얼굴,Dual SIM/eSIM(지역별),"5G, Wi‑Fi, BT, USB‑C",S Pen(울트라/폴드 일부),A시리즈 일부 No,Aluminum/Glass 등,24,4~7,5~7,,,2025-09-19,"다양한 라인업과 가격대, 강력한 카메라/디스플레이",모델별 칩/충전/업데이트 편차,Global
Samsung,Galaxy S24+,2024-01,Android,Snapdragon 8 Gen 3 for Galaxy/Exynos 2400 (region),6.7,OLED (일부 A는 OLED),120,~1600,50,3x~10x(기종별),12,12,4900,25~45,10~15,12,"256,512",IP68,196,158.5×75.9×7.7,지문/얼굴,Dual SIM/eSIM(지역별),"5G, Wi‑Fi, BT, USB‑C",S Pen(울트라/폴드 일부),A시리즈 일부 No,Aluminum/Glass 등,24,4~7,5~7,,,2025-09-19,"다양한 라인업과 가격대, 강력한 카메라/디스플레이",모델별 칩/충전/업데이트 편차,Global
Samsung,Galaxy S24 Ultra,2024-01,Android,Snapdragon 8 Gen 3 for Galaxy,6.8,OLED (일부 A는 OLED),120,~1600,200,3x~10x(기종별),12,12,5000,25~45,10~15,12,"2,565,121,024",IP68,232,162.3×79×8.6,지문/얼굴,Dual SIM/eSIM(지역별),"5G, Wi‑Fi, BT, USB‑C",S Pen(울트라/폴드 일부),A시리즈 일부 No,Aluminum/Glass 등,24,4~7,5~7,,,2025-09-19,"다양한 라인업과 가격대, 강력한 카메라/디스플레이",모델별 칩/충전/업데이트 편차,Global
Samsung,Galaxy Z Flip5,2023-08,Android,Snapdragon 8 Gen 2 for Galaxy,6.7,OLED (일부 A는 OLED),120,~1600,12,3x~10x(기종별),12,12,3700,25~45,10~15,8,"256,512",IPX8,187,165.1×71.9×6.9 (open),지문/얼굴,Dual SIM/eSIM(지역별),"5G, Wi‑Fi, BT, USB‑C",S Pen(울트라/폴드 일부),A시리즈 일부 No,Aluminum/Glass 등,24,4~7,5~7,,,2025-09-19,"다양한 라인업과 가격대, 강력한 카메라/디스플레이",모델별 칩/충전/업데이트 편차,Global
Samsung,Galaxy Z Fold5,2023-08,Android,Snapdragon 8 Gen 2 for Galaxy,7.6,OLED (일부 A는 OLED),120,~1600,50,3x~10x(기종별),12,12,4400,25~45,10~15,12,"2,565,121,024",IPX8,253,154.9×67.1×13.4 (folded),지문/얼굴,Dual SIM/eSIM(지역별),"5G, Wi‑Fi, BT, USB‑C",S Pen(울트라/폴드 일부),A시리즈 일부 No,Aluminum/Glass 등,24,4~7,5~7,,,2025-09-19,"다양한 라인업과 가격대, 강력한 카메라/디스플레이",모델별 칩/충전/업데이트 편차,Global
Samsung,Galaxy Z Flip6,2024-07,Android,Snapdragon 8 Gen 3,6.7,OLED (일부 A는 OLED),120,~1600,50,3x~10x(기종별),12,12,4000,25~45,10~15,8/12,"256,512",IP48/54 (est.),187,open 약 165×72×6.9,지문/얼굴,Dual SIM/eSIM(지역별),"5G, Wi‑Fi, BT, USB‑C",S Pen(울트라/폴드 일부),A시리즈 일부 No,Aluminum/Glass 등,24,4~7,5~7,,,2025-09-19,"다양한 라인업과 가격대, 강력한 카메라/디스플레이",모델별 칩/충전/업데이트 편차,Global
Samsung,Galaxy Z Fold6,2024-07,Android,Snapdragon 8 Gen 3,7.6,OLED (일부 A는 OLED),120,~1600,50,3x~10x(기종별),12,12,4600,25~45,10~15,12,"2,565,121,024",IP48/54 (est.),239,folded 약 153.5×68.1×12.1,지문/얼굴,Dual SIM/eSIM(지역별),"5G, Wi‑Fi, BT, USB‑C",S Pen(울트라/폴드 일부),A시리즈 일부 No,Aluminum/Glass 등,24,4~7,5~7,,,2025-09-19,"다양한 라인업과 가격대, 강력한 카메라/디스플레이",모델별 칩/충전/업데이트 편차,Global
Samsung,Galaxy A54,2023-03,Android,Exynos 1380,6.4,OLED (일부 A는 OLED),120,~1600,50,3x~10x(기종별),12,12,5000,25~45,10~15,6/8,"128,256",IP67,202,158.2×76.7×8.2,지문/얼굴,Dual SIM/eSIM(지역별),"5G, Wi‑Fi, BT, USB‑C",S Pen(울트라/폴드 일부),A시리즈 일부 No,Aluminum/Glass 등,24,4~7,5~7,,,2025-09-19,"다양한 라인업과 가격대, 강력한 카메라/디스플레이",모델별 칩/충전/업데이트 편차,Global
Samsung,Galaxy A55,2024-03,Android,Exynos 1480,6.6,OLED (일부 A는 OLED),120,~1600,50,3x~10x(기종별),12,12,5000,25~45,10~15,8/12,"128,256",IP67,213,161.1×77.4×8.2,지문/얼굴,Dual SIM/eSIM(지역별),"5G, Wi‑Fi, BT, USB‑C",S Pen(울트라/폴드 일부),A시리즈 일부 No,Aluminum/Glass 등,24,4~7,5~7,,,2025-09-19,"다양한 라인업과 가격대, 강력한 카메라/디스플레이",모델별 칩/충전/업데이트 편차,Global
Google,Pixel 7a,2023-05,Android,Tensor G2,6.1,OLED,120,~1600,64,5x(프로),48(프로/울트라급),10.5,4385,18~30,7.5~23,8,128,IP67,193,152×72.9×9,지문/얼굴,eSIM+Nano(지역),"5G, Wi‑Fi, BT, USB‑C",No,No,Aluminum/Glass,24,7,7,,,2025-09-19,"클린 안드로이드, 장기 업데이트, 사진 최적화",발열/충전속도 아쉬움(세대별),Global(한국 정발 제한)
Google,Pixel 8,2023-10,Android,Tensor G3,6.2,OLED,120,~1600,50,5x(프로),48(프로/울트라급),10.5,4575,18~30,7.5~23,8,"128,256",IP68,187,150.5×70.8×8.9,지문/얼굴,eSIM+Nano(지역),"5G, Wi‑Fi, BT, USB‑C",No,No,Aluminum/Glass,24,7,7,,,2025-09-19,"클린 안드로이드, 장기 업데이트, 사진 최적화",발열/충전속도 아쉬움(세대별),Global(한국 정발 제한)
Google,Pixel 8a,2024-05,Android,Tensor G3,6.1,OLED,120,~1600,64,5x(프로),48(프로/울트라급),10.5,4492,18~30,7.5~23,8,"128,256",IP67,188,152.1×72.7×8.9,지문/얼굴,eSIM+Nano(지역),"5G, Wi‑Fi, BT, USB‑C",No,No,Aluminum/Glass,24,7,7,,,2025-09-19,"클린 안드로이드, 장기 업데이트, 사진 최적화",발열/충전속도 아쉬움(세대별),Global(한국 정발 제한)
Google,Pixel 8 Pro,2023-10,Android,Tensor G3,6.7,OLED,120,~1600,50,5x(프로),48(프로/울트라급),10.5,5050,18~30,7.5~23,12,"128,256,512",IP68,213,162.6×76.5×8.8,지문/얼굴,eSIM+Nano(지역),"5G, Wi‑Fi, BT, USB‑C",No,No,Aluminum/Glass,24,7,7,,,2025-09-19,"클린 안드로이드, 장기 업데이트, 사진 최적화",발열/충전속도 아쉬움(세대별),Global(한국 정발 제한)
Xiaomi,14,2023-10,Android,Snapdragon 8 Gen 3,6.36,OLED,120,~1600~3000,50,3x~10x(기종별),48~50,16~32,4610,30~100,15~80,8/12,"256,512",IP68,193,152.8×71.5×8.2,지문/얼굴,Dual SIM/eSIM(지역),"5G, Wi‑Fi, BT, USB‑C",No,일부 microSD 지원,Metal/Glass 등,24,3~5,3~5,,,2025-09-19,강력한 카메라·충전·가성비(브랜드별 특장점),"지역/서비스 제한, A/S 편차",중국/유럽/글로벌(국가별 상이)
Xiaomi,14 Pro,2023-11,Android,Snapdragon 8 Gen 3,6.73,OLED,120,~1600~3000,50,3x~10x(기종별),48~50,16~32,4880,30~100,15~80,12/16,"2,565,121,024",IP68,223,161.4×75.3×8.5,지문/얼굴,Dual SIM/eSIM(지역),"5G, Wi‑Fi, BT, USB‑C",No,일부 microSD 지원,Metal/Glass 등,24,3~5,3~5,,,2025-09-19,강력한 카메라·충전·가성비(브랜드별 특장점),"지역/서비스 제한, A/S 편차",중국/유럽/글로벌(국가별 상이)
Xiaomi,14 Ultra,2024-02,Android,Snapdragon 8 Gen 3,6.73,OLED,120,~1600~3000,50,3x~10x(기종별),48~50,16~32,5300,30~100,15~80,12/16,"2,565,121,024",IP68,219,161.4×75.3×9.2,지문/얼굴,Dual SIM/eSIM(지역),"5G, Wi‑Fi, BT, USB‑C",No,일부 microSD 지원,Metal/Glass 등,24,3~5,3~5,,,2025-09-19,강력한 카메라·충전·가성비(브랜드별 특장점),"지역/서비스 제한, A/S 편차",중국/유럽/글로벌(국가별 상이)
Huawei,Pura 70 Ultra,2024-04,HarmonyOS,Kirin (gen varies),6.8,OLED,120,~1600~3000,50,3x~10x(기종별),48~50,13,5200,30~100,15~80,16,"5,121,024",IP68,226,162.6×75.1×8.4,지문/얼굴,Dual SIM/eSIM(지역),"5G, Wi‑Fi, BT, USB‑C",No,일부 microSD 지원,Metal/Glass 등,24,3~5,3~5,,,2025-09-19,강력한 카메라·충전·가성비(브랜드별 특장점),"지역/서비스 제한, A/S 편차",중국/유럽/글로벌(국가별 상이)
OnePlus,12,2023-12,Android,Snapdragon 8 Gen 3,6.82,OLED,120,~1600~3000,50,3x~10x(기종별),48~50,13,5400,30~100,15~80,12/16,"2,565,121,024",IP65,220,164.3×75.8×9.2,지문/얼굴,Dual SIM/eSIM(지역),"5G, Wi‑Fi, BT, USB‑C",No,일부 microSD 지원,Metal/Glass 등,24,3~5,3~5,,,2025-09-19,강력한 카메라·충전·가성비(브랜드별 특장점),"지역/서비스 제한, A/S 편차",중국/유럽/글로벌(국가별 상이)
OPPO,Find X7 Ultra,2024-01,Android,Snapdragon 8 Gen 3,6.82,OLED,120,~1600~3000,50,3x~10x(기종별),48~50,16~32,5000,30~100,15~80,12/16,"256,512",IP68,221,164.3×76.2×9.5,지문/얼굴,Dual SIM/eSIM(지역),"5G, Wi‑Fi, BT, USB‑C",No,일부 microSD 지원,Metal/Glass 등,24,3~5,3~5,,,2025-09-19,강력한 카메라·충전·가성비(브랜드별 특장점),"지역/서비스 제한, A/S 편차",중국/유럽/글로벌(국가별 상이)
vivo,X100 Pro,2023-11,Android,Dimensity 9300,6.78,OLED,120,~1600~3000,50,3x~10x(기종별),48~50,16~32,5400,30~100,15~80,12/16,"256,512",IP68,221,164.1×75.3×8.9,지문/얼굴,Dual SIM/eSIM(지역),"5G, Wi‑Fi, BT, USB‑C",No,일부 microSD 지원,Metal/Glass 등,24,3~5,3~5,,,2025-09-19,강력한 카메라·충전·가성비(브랜드별 특장점),"지역/서비스 제한, A/S 편차",중국/유럽/글로벌(국가별 상이)
Motorola,Edge 50 Ultra,2024-04,Android,Snapdragon 8s Gen 3,6.7,OLED,120,~1600~3000,50,3x~10x(기종별),48~50,16~32,4500,30~100,15~80,12/16,512,IP68,197,161.1×72.4×8.6,지문/얼굴,Dual SIM/eSIM(지역),"5G, Wi‑Fi, BT, USB‑C",No,일부 microSD 지원,Metal/Glass 등,24,3~5,3~5,,,2025-09-19,강력한 카메라·충전·가성비(브랜드별 특장점),"지역/서비스 제한, A/S 편차",중국/유럽/글로벌(국가별 상이)
Motorola,Razr 40 Ultra (Razr+),2023-06,Android,Snapdragon 8+ Gen 1,6.9,OLED,120,~1600~3000,12,3x~10x(기종별),48~50,16~32,3800,30~100,15~80,8/12,"256,512",IP52,188,170.8×74×6.9(open),지문/얼굴,Dual SIM/eSIM(지역),"5G, Wi‑Fi, BT, USB‑C",No,일부 microSD 지원,Metal/Glass 등,24,3~5,3~5,,,2025-09-19,강력한 카메라·충전·가성비(브랜드별 특장점),"지역/서비스 제한, A/S 편차",중국/유럽/글로벌(국가별 상이)
Nokia,XR21,2023-05,Android,Snapdragon 695,6.67,LCD,120,~1600~3000,64,3x~10x(기종별),48~50,13,4800,30~100,15~80,6,128,IP69K,231,168×78.6×10.5,지문/얼굴,Dual SIM/eSIM(지역),"5G, Wi‑Fi, BT, USB‑C",No,일부 microSD 지원,Metal/Glass 등,24,3~5,3~5,,,2025-09-19,강력한 카메라·충전·가성비(브랜드별 특장점),"지역/서비스 제한, A/S 편차",중국/유럽/글로벌(국가별 상이)
